Country,Compensation currency,Compensation time period,Employment type,Work location,Contract type,Job family,Level,Department,Manager,Entity,Teams,Position ID
,,,,,,,,,,,,ADHOC107165
,,,,,,,,,,,,EE105317
,,,,,,,,,,,,EE104847
,,,,,,,,,,,,ADHOC107029
,,,,,,,,,,,,EE105279
,,,,,,,,,,,,EE104024
,,,,,,,,,,,,EE104111
,,,,,,,,,,,,EE105504
,,,,,,,,,,,,EE104457
,,,,,,,,,,,,EE105407
,,,,,,,,,,,,EE107130
,,,,,,,,,,,,EE104420
,,,,,,,,,,,,EE105907
,,,,,,,,,,,,EE106122
,,,,,,,,,,,,EE104015
,,,,,,,,,,,,EE106680
,,,,,,,,,,,,EE104207
,,,,,,,,,,,,EE105427
,,,,,,,,,,,,ADHOC107191
,,,,,,,,,,,,EE105771
,,,,,,,,,,,,EE106539
,,,,,,,,,,,,ADHOC107193
,,,,,,,,,,,,EE104170
,,,,,,,,,,,,EE104943
,,,,,,,,,,,,EE105900
,,,,,,,,,,,,EE106131
,,,,,,,,,,,,ADHOC106923
,,,,,,,,,,,,EE104009
,,,,,,,,,,,,EE105305
,,,,,,,,,,,,EE105310
,,,,,,,,,,,,EE104083
,,,,,,,,,,,,EE105585
,,,,,,,,,,,,EE106766
,,,,,,,,,,,,EE105474
,,,,,,,,,,,,EE106700
,,,,,,,,,,,,EE106815
,,,,,,,,,,,,EE104422
,,,,,,,,,,,,EE105898
,,,,,,,,,,,,EE105375
,,,,,,,,,,,,EE104658
,,,,,,,,,,,,EE104540
,,,,,,,,,,,,EE105438
,,,,,,,,,,,,EE104810
,,,,,,,,,,,,EE104465
,,,,,,,,,,,,EE105998
,,,,,,,,,,,,EE105112
,,,,,,,,,,,,EE105207
,,,,,,,,,,,,EE105329
,,,,,,,,,,,,EE104845
,,,,,,,,,,,,ADHOC107295
,,,,,,,,,,,,EE105961
,,,,,,,,,,,,EE105107
,,,,,,,,,,,,EE105352
,,,,,,,,,,,,EE106883
,,,,,,,,,,,,ADHOC107117
,,,,,,,,,,,,EE104784
,,,,,,,,,,,,EE105141
,,,,,,,,,,,,EE105225
,,,,,,,,,,,,EE106298
,,,,,,,,,,,,EE106532
,,,,,,,,,,,,ADHOC106969
,,,,,,,,,,,,EE105616
,,,,,,,,,,,,EE104192
,,,,,,,,,,,,ADHOC106988
,,,,,,,,,,,,EE106380
,,,,,,,,,,,,EE105685
,,,,,,,,,,,,EE107316
,,,,,,,,,,,,EE105591
,,,,,,,,,,,,EE105387
,,,,,,,,,,,,EE103993
,,,,,,,,,,,,EE105800
,,,,,,,,,,,,ADHOC107281
,,,,,,,,,,,,EE106423
,,,,,,,,,,,,EE104323
,,,,,,,,,,,,EE105420
,,,,,,,,,,,,EE104857
,,,,,,,,,,,,EE105969
,,,,,,,,,,,,EE107047
,,,,,,,,,,,,EE104523
,,,,,,,,,,,,EE106347
,,,,,,,,,,,,EE104896
,,,,,,,,,,,,EE105178
,,,,,,,,,,,,ADHOC107028
,,,,,,,,,,,,EE106294
,,,,,,,,,,,,EE104346
,,,,,,,,,,,,EE104477
,,,,,,,,,,,,EE105456
,,,,,,,,,,,,EE107112
,,,,,,,,,,,,EE106626
,,,,,,,,,,,,ADHOC107313
,,,,,,,,,,,,EE104748
,,,,,,,,,,,,EE105309
,,,,,,,,,,,,EE104949
,,,,,,,,,,,,EE105803
,,,,,,,,,,,,EE106840
,,,,,,,,,,,,EE105342
,,,,,,,,,,,,EE106728
,,,,,,,,,,,,EE104534
,,,,,,,,,,,,EE106800
,,,,,,,,,,,,EE104529
,,,,,,,,,,,,EE105483
,,,,,,,,,,,,EE104144
,,,,,,,,,,,,EE106559
,,,,,,,,,,,,EE106709
,,,,,,,,,,,,EE106589
,,,,,,,,,,,,EE107096
,,,,,,,,,,,,EE105826
,,,,,,,,,,,,EE106113
,,,,,,,,,,,,EE104889
,,,,,,,,,,,,EE107124
,,,,,,,,,,,,EE104137
